_Word,Pron,Log_Freq_HAL,Log_Freq_SUBTLEX,aoa
boo,bu,7.34,2.78,3.78
boob,bub,6.21,2.19,8.16
book,bʊk,12.16,3.96,3.68
book's,bʊks,6.75,NULL,NaN
booked,bʊkt,7.48,2.73,3.68
books,bʊks,11.62,3.54,3.68
boom,bum,8.36,3.05,5.56
boomed,bumd,5.06,0.3,5.56
boon,bun,7.73,2.04,12.94
boor,bʊr,5.09,0.6,12.14
boors,bʊrz,3.37,0.85,12.14
boos,buz,5.23,0.95,3.78
boost,bust,8.47,2.36,7.89
boosts,busts,5.77,1.08,7.89
boot,but,10.69,2.76,3.89
booth,buθ,8.4,3.02,7.16
booths,buθs,6.71,1.76,7.16
boots,buts,9.28,2.99,4.86
booze,buz,6.87,2.75,10.42
bop,bɑp,6.79,1.98,6.31
bore,bɔr,8.19,2.6,8.91
bored,bɔrd,8.86,3.01,6.25
bores,bɔrz,5.59,1.62,8.91
born,bɔrn,10.47,3.63,4.68
borne,bɔrn,8.7,1.72,3.58
borscht,bɔr∫t,3.66,1.56,15.23
boss,bɔs,9.21,3.8,6.16
bossed,bɔst,3.33,0.85,6.16
botch,bɑ©,5.49,1.23,10.53
both,boθ,12.6,4.18,4.77
bough,bĂ,5.69,1.2,11.79
boughs,bĂz,3.56,1.28,11.79
bought,bɔt,10.95,3.64,5.56
bounce,bĂns,8.35,2.7,6.17
bounced,bĂnst,8.15,2.18,6.17
bound,bĂnd,9.45,2.97,9
bounds,bĂndz,7.97,2.06,9
bout,bĂt,8.63,2.99,11.83
bouts,bĂts,6.26,1.43,11.83
bow,bo,8.92,3.01,4.95
bowed,bod,6.92,1.62,4.95
bowel,bĂəl,6.86,2.26,9.72
bowels,bĂəlz,6.64,1.94,9.78
bower,bĂr,5.96,1.15,12.77
bowers,bĂrz,7.04,1.79,NaN
bowl,bol,9.28,3.04,4.26
bowls,bolz,7,2.05,4.26
bows,bĂz,7.1,1.95,4.95
box,bɑks,12.05,3.66,4.3
boxed,bɑkst,8.17,1.83,4.3
boy,bœ,10.66,4.43,3.67
boy's,bœz,7.95,NULL,NaN
boys,bœz,10.08,4.06,3.67
bra,brɑ,8.22,2.75,8.21
brace,bres,7.26,2.51,7.89
braced,brest,5.59,1.18,7.89
Brad,bræd,9.43,3.19,NaN
brae,bre,4.82,0.7,11.89
brag,bræg,7.06,2.26,7.79
bragged,brægd,5.55,1.49,7.79
Brahms,brɑmz,7.62,1.6,NaN
braid,bred,6.22,1.69,7.22
braids,bredz,5.23,1.61,7.22
braille,brel,6.27,1.46,9
brain,bren,10.9,3.59,5.76
brain's,brenz,5.95,NULL,NaN
brains,brenz,8.8,3.15,5.76
braise,brez,2.94,NULL,13.61
brake,brek,8.72,2.49,5.95
brakes,breks,8.45,2.53,5.95
bran,bræn,6.39,1.83,9.95
branch,bræn©,9.51,2.71,5.11
branched,bræn©t,5.63,0.9,5.11
brand,brænd,10.13,2.85,7.72
brands,brændz,8.56,1.72,7.72
brash,bræ∫,5.51,1.34,11.47
brass,bræs,9.4,2.79,9.05
brat,bræt,6.98,2.5,6.21
brave,brev,8.62,3.21,6
braved,brevd,4.37,1.15,6
braves,brevz,6.96,1.52,6
brawl,brɔl,6.99,2.04,9.2
brawn,brɔn,5.59,1.48,10.06
bray,bre,6.63,1.32,NaN
breach,br!©,7.86,2.5,11.72
bread,brɛd,9.11,3.16,3.58
breadth,brɛtθ,6.99,1.36,11.38
break,brek,10.77,4.05,5.3
breaks,breks,9.29,2.98,5.3
breast,brɛst,8.93,2.66,6.6
breasts,brɛsts,9.23,2.8,8.03
breath,brɛθ,9.58,3.36,5.81
breathe,br!ð,8.04,3.39,4.11
breathed,br!ðd,7.03,1.86,4.11
breathes,br!ðz,6.08,1.98,4.11
breaths,brɛθs,6.39,2.2,5.81
bred,brɛd,8.03,2.1,9
breech,br!©,6.25,1.56,11.79
breed,br!d,9.63,2.51,9
breed's,br!dz,5.38,NULL,NaN
breeds,br!dz,8.61,1.74,9
breeze,br!z,7.66,2.61,6.22
Brett,brɛt,9.03,2.47,NaN
brew,bru,8,2.11,9.06
brewed,brud,7,1.36,9.06
Brewer's,bruɝz,5.48,NULL,NaN
brewers,bruɝz,7.11,0.78,11.01
Brian,brĨən,10.7,3.26,NaN
briar,brĨr,5.3,1.6,9.62
bribe,brĨb,7.02,2.49,9.74
bribed,brĨbd,5.48,2,9.74
bribes,brĨbz,6.78,1.87,9.74
brick,brIk,8.29,2.72,6.43
bricks,brIks,7.43,2.3,6.43
bride,brĨd,8.21,3.09,5.1
bride's,brĨdz,5.86,NULL,NaN
brides,brĨdz,6.4,1.68,5.1
bridge,brIĵ,9.87,3.37,5.58
Brie,br!,4.89,1.67,NaN
brief,br!f,9.88,2.87,8.44
briefed,br!ft,6.32,2,8.44
briefs,br!fs,7.16,1.63,8.44
brig,brIg,6.61,2.19,12.82
bright,brĨt,9.53,3.36,6.58
brim,brIm,5.98,1.66,10.68
brimmed,brImd,3.18,NULL,NaN
brine,brĨn,7.8,1.23,14.25
bring,brIŋ,10.94,4.22,4.42
brings,brIŋz,9.44,3.25,4.42
brink,brIŋk,7.16,2.11,10.47
brisk,brIsk,5.85,1.73,10.17
broach,bro©,5.44,1.38,10.72
broached,bro©t,4.8,1.15,10.72
broad,brɔd,9.44,2.88,10.5
brogue,brog,3.26,0.95,10.44
broil,brœl,4.73,1.2,8.65
broiled,brœld,5.16,1.15,8.65
broke,brok,9.55,3.73,5.3
bronc,brɑŋk,3.93,1.52,NaN
broncs,brɑŋks,3.09,0.7,NaN
Bronx,brɑŋks,7.04,2.51,NaN
bronze,brɑnz,8.57,2.16,10
bronzed,brɑnzd,4.08,1.26,10
brooch,bro©,4.19,1.83,10.71
brood,brud,6.54,1.75,10.47
broods,brudz,3.56,0.3,10.47
brook,brʊk,7.93,2.02,8.42
brook's,brʊks,4.11,NULL,NaN
brooked,brʊkt,2.08,NULL,NaN
brooks,brʊks,8.84,2.62,NaN
broom,brum,6.4,2.39,5.5
broth,brɔθ,6.64,1.66,9
brought,brɔt,10.59,3.94,4.42
brow,brĂ,6.69,1.98,9.82
brown,brĂn,10.65,3.49,4.2
brown's,brĂnz,6.91,NULL,NaN
brows,brĂz,5.13,1.11,9.82
browse,brĂz,8.86,1.49,9.89
Bruce,brus,10.16,3.04,NaN
bruise,bruz,6.12,2.22,5.45
bruised,bruzd,6.57,2.03,NaN
brunch,brʌn©,5.85,2.28,8.68
brunt,brʌnt,6.29,1.42,12.52
brush,brʌ∫,8.65,2.86,3.78
brushed,brʌ∫t,7.35,2.09,3.78
brusque,brʌsk,4.16,0.7,14.77
brute,brut,7.94,2.21,10.85
buck,bʌk,8.82,3.24,7.68
buck's,bʌks,4.64,NULL,NaN
bucked,bʌkt,6.07,1.23,7.68
bucks,bʌks,9.32,3.46,7.68
bud,bʌd,8.57,3.26,7.01
budge,bʌĵ,6.23,2.02,9.25
buds,bʌdz,7.14,1.96,7.01
buff,bʌf,7.44,2.11,11.74
buffs,bʌfs,6.76,0.9,11.74
bug,bʌg,10.38,3.03,3.79
bugged,bʌgd,6.71,2.12,3.79
bugs,bʌgz,9.82,2.84,3.79
build,bIld,10.77,3.39,4.45
builds,bIldz,8.23,2.26,4.45
built,bIlt,10.59,3.32,4.45
bulb,bʌlb,8.09,2.3,6.56
bulbs,bʌlbz,7.66,1.94,6.56
bulge,bʌlĵ,7.14,1.69,8.1
bulged,bʌlĵd,5.24,0.3,8.1
bulk,bʌlk,8.86,1.99,10.21
bulked,bʌlkt,3.22,0.6,10.21
bulks,bʌlks,2.71,0.3,10.21
bull,bʊl,9.02,3.15,4.53
bulls,bʊlz,7.84,2.42,4.53
bum,bʌm,7.44,2.9,8.11
bump,bʌmp,7.89,2.8,4.35
bumped,bʌmpt,7.66,2.49,4.35
bumps,bʌmps,7.48,2.25,4.35
bums,bʌmz,6.65,2.28,8.11
bun,bʌn,6.79,2.17,5.79
bunch,bʌn©,10.32,3.48,4.89
bunched,bʌn©t,5.26,1.04,4.89
bunk,bʌŋk,6.98,2.51,5.62
bunks,bʌŋks,5.03,1.75,5.62
buns,bʌnz,6.92,2.29,5.79
bunt,bʌnt,5.23,1.62,8.66
buoyant,bœənt,4.91,1,12.58
burg,bɝg,5.84,1.46,12.18
burn,bɝn,9.43,3.45,4.72
burned,bɝnd,8.96,3.16,4.72
burns,bɝnz,8.81,3.07,NaN
burnt,bɝnt,7.8,2.69,4.72
burp,bɝp,6.14,1.83,4.67
burr,bɝ,6.85,1.56,9.33
burrs,bɝz,4.89,0.6,9.33
burst,bɝst,8.76,2.64,7.72
bursts,bɝsts,7.09,1.77,7.72
Burt,bɝt,7.4,2.83,NaN
bus,bʌs,10.49,3.58,3.85
bush,bʊ∫,9.3,2.86,4.9
bust,bʌst,8.03,3.15,9.23
busts,bʌsts,5.82,1.86,9.23
but,bʌt,14.57,5.35,4.6
butch,bʊ©,7.36,2.52,11.33
butt,bʌt,9.24,3.29,3.73
butte,byut,5.87,1.45,NaN
butts,bʌts,7.45,2.47,3.73
buy,bĨ,11.78,3.99,5.56
buyer,bĨɝ,9.79,2.42,6.94
buyers,bĨɝz,8.86,2.09,6.94
buys,bĨz,8.32,2.56,5.56
buzz,bʌz,8.23,2.91,7.1
buzzed,bʌzd,5.74,1.69,7.1
by,bĨ,14.4,4.83,5.41
bye,bĨ,9.1,3.96,3.28
cab,kæb,8.13,3.26,6.94
cab's,kæbz,2.83,NULL,NaN
cabs,kæbz,6.36,2.04,6.94
cache,kæ∫,10.26,1.51,15.05
cad,kæd,9,1.73,NaN
cage,keĵ,9.05,3.01,5.06
caged,keĵd,5.68,1.92,NaN
Cain,ken,7.66,2.35,NaN
cake,kek,8.74,3.36,3.26
caked,kekt,4.42,1,3.26
cakes,keks,7.2,2.47,3.26
calf,kæf,7.3,2.18,6.63
call,kɔl,12.4,4.64,4.74
called,kɔld,12.14,4.24,4.74
calls,kɔlz,10.74,3.61,4.74
calm,kɑm,8.75,3.66,6.26
calmed,kɑmd,6.38,1.93,6.26
calve,kæv,3.37,NULL,8.84
calves,kævz,6.88,1.92,6.63
cam,kæm,8.25,2.29,9.23
came,kem,11.65,4.37,3.32
camp,kæmp,9.68,3.42,5.78
camp's,kæmps,4.76,NULL,NaN
camped,kæmpt,6.04,1.81,5.78
camps,kæmps,8.73,2.29,5.78
cams,kæmz,6.16,1.38,9.23
can,kæn,14.3,5.43,4.32
can't,kænt,12.53,NULL,NaN
cane,ken,8.6,2.63,5.74
cane's,kenz,3.71,NULL,NaN
canned,kænd,7.79,2.33,7.56
cans,kænz,7.92,2.59,4.32
cap,kæp,9.54,2.98,5.53
cape,kep,8.6,2.62,6.9
capes,keps,4.9,1.23,6.9
capped,kæpt,6.18,1.8,5.53
caps,kæps,8.79,2.18,5.53
car,kɑr,11.37,4.39,3.37
car's,kɑrz,6.94,NULL,NaN
card,kɑrd,12.31,3.64,6.2
cards,kɑrdz,12.37,3.39,6.2
