_Word,Pron,Log_Freq_HAL,Log_Freq_SUBTLEX,aoa
squadrons,skwɑdrənz,6.19,1.51,13.53
squadroom,skwɑdrum,2.08,NULL,NaN
squalid,skwɑləd,4.83,1.2,13.71
squalor,skwɑlɝ,5.21,1.2,13.67
squander,skwɑndɝ,5.14,1.49,11.05
squandered,skwɑndɝd,5.38,1.49,11.05
squarely,skwɛrl!,6.57,1.56,NaN
squashing,skwɑ∫Iŋ,4.95,1.2,6.94
squashy,skwɑ∫!,1.95,0.48,9.86
squatted,skwɑdəd,5.54,0.7,8.21
squatter,skwɑdɝ,4.13,1.11,11.39
squatter's,skwɑdɝz,3,NULL,NaN
squatting,skwɑdIŋ,6.09,1.6,8.21
squeaking,skw!kIŋ,5.09,1.95,5.84
squeaky,skw!k!,6.02,2.01,4.63
squealer,skw!lɝ,3.69,1.53,9.79
squealing,skw!lIŋ,5.81,2.09,7
squeamish,skw!mI∫,5.18,1.66,10.22
squeegee,skw!ĵ!,4.45,1.18,9.94
squeezing,skw!zIŋ,7.34,2.02,5.42
squiggle,skwIgl,4.23,0.48,8.11
squinted,skwIndəd,4.8,0.7,8.05
squinting,skwIndIŋ,4.91,1.11,8.05
squinty,skwInd!,2.89,0.85,10.75
squirrel,skwɝrəl,7.6,2.45,4.44
squirted,skwɝdəd,5.96,1.2,6.53
squirting,skwɝdIŋ,6.4,1.42,6.53
stable,stebl,9.66,2.83,8.9
stabled,stebld,2.83,0.7,8.9
stables,steblz,5.39,2.18,8.9
Stacey,stes!,7.12,NULL,NaN
stacking,stækIŋ,6.28,1.67,5.63
Stacy,stes!,7.28,NULL,NaN
stadium,sted!əm,9.06,2.5,7
staffing,stæfIŋ,8.69,1.18,11.42
Stafford,stæfɝd,7.18,1.91,NaN
stagecoach,steĵko©,4.45,1.72,9
stager,steĵɝ,4.96,NULL,NaN
stages,steĵəz,8.74,2.17,6.32
stagger,stægɝ,5.87,1.49,9.56
staggered,stægɝd,6.36,1.43,9.56
staging,steĵIŋ,6.77,2,NaN
stagnant,stægnənt,6.2,1.18,11.86
stagnate,stægnet,4.92,0.7,12.12
staining,stenIŋ,6.05,1.18,5.24
stainless,stenləs,7.99,1.58,10.72
staircase,stɛrkes,6.78,1.95,6.5
stairway,stɛrwe,6.57,1.91,4.15
stairways,stɛrwez,4.86,0.7,4.15
stairwell,stɛrwɛl,5.08,2.04,8.94
stairwells,stɛrwɛlz,3.53,1.23,8.94
stakeout,stekĂt,4.54,2,11.17
stalemate,stelmet,6.15,1.4,10.67
Stalin,stɑlIn,7.87,1.9,NaN
Stalin's,stɑlInz,6.16,NULL,NaN
stalker,stɔkɝ,7.95,2.28,11.16
stalking,stɔkIŋ,6.75,2.43,8.22
stalling,stɔlIŋ,6.68,2.29,7.75
stallings,stɔlIŋz,5.73,0.48,NaN
stallion,stælyən,6.89,2.21,9.42
stallion's,stælyənz,3.78,NULL,NaN
stalwart,stɔlwɝt,5.04,1.36,14.4
stamen,stemən,3.37,0.7,11.43
stamens,stemənz,3.26,0.3,11.43
stammer,stæmɝ,4.63,1.18,9.89
stammered,stæmɝd,5.68,0.9,9.89
stampede,stæmp!d,6.86,1.84,9.55
stamping,stæmpIŋ,6.4,1.46,6.33
stances,stænsəz,6.15,0.78,10
stanchest,stɔn©Ist,NULL,NULL,NaN
standard,stændɝd,11.59,2.97,9.2
standards,stændɝdz,10.46,2.57,9.2
standby,stændbĨ,7,2.18,10.56
standing,stændIŋ,10.09,3.6,4.39
standpoint,stændpœnt,7.96,1.84,12.11
standstill,stændstIl,5.74,1.43,10
Stanford,stænfɝd,9.05,2.45,NaN
Stanley,stænl!,8.6,2.98,NaN
Stanley's,stænl!z,4.42,NULL,NaN
stanza,stænzə,5.7,0.48,11.47
staple,stepl,7.01,1.76,7.18
staples,steplz,7.02,1.56,7.18
starboard,stɑrbɔrd,6.08,2.52,13.72
starchy,stɑr©!,4.29,1.08,10.67
stardom,stɑrdəm,5.14,1.51,10.06
stardust,stɑrdʌst,6.07,1.61,9.16
starfish,stɑrfI∫,5.75,1.59,5.76
staring,stɛrIŋ,8.36,3.08,7.61
starkly,stɑrkl!,4.33,0.3,NaN
starlet,stɑrlət,5.21,1.49,11.17
starlight,stɑrlĨt,6.2,1.91,7.37
starling,stɑrlIŋ,4.72,2.02,13
starlings,stɑrlIŋz,4.51,0.7,13
starlit,stɑrlIt,2.94,0.9,9.59
starring,stɑrIŋ,7.92,2.16,3.89
starry,stɑr!,5.53,1.58,7.89
started,stɑrdəd,11.5,3.98,4.37
starter,stɑrdɝ,8.89,2.15,7.35
starting,stɑrdIŋ,10.89,3.55,4.37
startle,stɑrdl,5.19,1.79,9.17
startled,stɑrdld,7.12,2.1,9.17
startups,stɑrtʌps,5.94,NULL,NaN
starving,stɑrvIŋ,7.65,2.94,6.32
stasis,stesIs,8.18,1.3,13.22
stated,stedəd,10.49,2.27,6.39
statehood,stethʊd,5.8,1.23,12.29
statehouse,stethĂs,4.06,0.85,11.87
stateless,stetləs,5.48,0.9,13.73
stately,stetl!,5.99,1.38,11.68
statement,stetmənt,10.93,3.17,8.89
statements,stetmənts,10.03,2.45,8.89
stateroom,stetrum,4.03,1.62,11.94
stateside,stetsĨd,5.92,1.79,12.11
statesman,stetsmən,6.23,1.51,12.94
statesmen,stetsmən,5.73,1.11,12.94
statewide,stetwĨd,6.71,1.2,9.95
static,stædIk,9.73,2.41,9.28
stating,stedIŋ,9.14,1.97,6.39
station,ste∫n,10.55,3.61,7.11
station's,ste∫nz,6.15,NULL,NaN
stationed,ste∫nd,7.21,2.23,7.11
stations,ste∫nz,9.6,2.81,7.11
statue,stæ©u,8.96,2.73,7.55
statues,stæ©uz,6.96,2,7.55
stature,stæ©ɝ,6.97,1.93,11.12
status,stædəs,10.69,2.88,11.63
statute,stæ©ut,8.19,1.99,10.39
statutes,stæ©uts,7.45,1.54,10.39
staunchest,stɔn©Ist,4.5,0.48,11.44
staying,steIŋ,8.96,3.48,4.22
steadfast,stɛdfæst,5.75,1.36,13.89
steadied,stɛd!d,4.57,0.3,NaN
steadier,stɛd!ɝ,4.34,0.85,6.7
steady,stɛd!,8.59,3.06,6.7
stealer,st!lɝ,5.12,1.11,8.24
stealing,st!lIŋ,8.46,3.1,6.17
stealthy,stɛlθ!,5.31,1.2,10.68
steamboat,st!mbot,6.3,1.43,7.67
steamer,st!mɝ,5.68,1.73,9.11
steaming,st!mIŋ,6.63,2.01,9.72
steamship,st!m∫Ip,4.54,1.4,7.06
steamy,st!m!,6.14,1.67,8.8
Steelers,st!lɝz,6.59,1.08,NaN
steelworks,st!lwɝks,3.66,0.7,NaN
steely,st!l!,6.37,1.18,12.68
steelyard,st!lyɑrd,1.39,NULL,NaN
steepen,st!pən,1.79,NULL,NaN
steeper,st!pɝ,5.8,0.9,8
steepest,st!pIst,5,0.6,8
steeple,st!pl,4.45,1.34,7.21
steeples,st!plz,2.2,0.78,7.21
steeply,st!pl!,4.91,NULL,NaN
steerage,stIrIĵ,2.89,1,13.22
steering,stIrIŋ,8.4,2.32,7.56
steersman,stIrzmən,1.1,0.6,12.79
Steinbeck's,stĨnbɛks,3.22,NULL,NaN
Stella,stɛlə,7.16,2.68,NaN
stellar,stɛlɝ,7.97,1.62,11.53
stencil,stɛnsl,5.65,1,6.94
stepchild,stɛp©Ĩld,3.99,0.9,7.89
Stephen,st!vn,10.21,2.83,NaN
Stephen's,st!vnz,4.95,NULL,NaN
Stephens,st!vnz,7.65,NULL,NaN
stepping,stɛpIŋ,8.02,2.55,4.11
stepson,stɛpsʌn,4.72,1.45,7.94
stepwise,stɛpwĨz,5.27,NULL,NaN
sterile,stɛrl,7.29,2.05,11.39
sterling,stɝlIŋ,8.63,2.06,10.7
sternly,stɝnl!,5.43,0.7,NaN
sternum,stɝnəm,5.09,1.62,12.65
steroid,stɛrœd,6.5,1.32,13.67
steroids,stɛrœdz,7.25,2.12,13.18
stetson,stɛtsn,5.94,1.28,NaN
stetsons,stɛtsnz,1.1,0.6,NaN
stewardess,stuɝdɛs,5.22,2.21,9.35
stewardship,stuɝd∫Ip,5.82,0.48,13.74
sticker,stIkɝ,8.43,2.16,4.42
sticking,stIkIŋ,8.62,2.87,3.89
stickpin,stIkpIn,0.69,0.85,10.57
sticky,stIk!,8.19,2.47,4.06
stiffen,stIfn,5.86,1.04,10.32
stiffened,stIfnd,5.89,0.9,10.32
stiffens,stIfnz,4.09,1.04,10.32
stiffer,stIfɝ,6.45,1.08,8.16
stiffly,stIfl!,5.42,0.48,NaN
stiffness,stIfnəs,6.84,1,10.56
stifle,stĨfl,6.62,1.2,10.26
stifled,stĨfld,5.87,1.32,10.26
stigma,stIgmə,6.72,1.45,15.56
stillbirth,stIlbɝθ,3.56,NULL,NaN
stillbirths,stIlbɝθs,2.77,0.7,NaN
stillborn,stIlbɔrn,5.31,1.2,13.05
stillness,stIlnəs,5.98,1.36,8.1
stilted,stIltəd,5.48,0.95,NaN
stinger,stIŋɝ,6.04,1.66,7.79
stinging,stIŋIŋ,6.39,1.67,6.78
stingray,stIŋre,6.91,1.2,NaN
stingy,stInĵ!,5.77,1.81,7.78
stinker,stIŋkɝ,4.77,2.03,4.33
stinking,stIŋkIŋ,7.03,2.68,NaN
stinky,stIŋk!,6.33,2.26,4.53
stipend,stĨpɛnd,6.01,1.36,17.2
stirring,stɝIŋ,7.52,2.13,5.58
stirrings,stɝIŋz,4.32,0.78,NaN
stirrup,stɝrʌp,5.11,1.11,9.68
stirups,stɝəps,NULL,NULL,NaN
stitches,stI©əz,7.38,2.41,7.39
stockade,stɑked,5,1.88,11.88
stockcar,stɑkkɑr,0.69,NULL,NaN
stocking,stɑkIŋ,7.27,2.13,6.68
stockings,stɑkIŋz,7.33,2.28,5.44
stockman,stɑkmən,6,0.6,NaN
stockpile,stɑkpĨl,5.82,1.34,10.89
stockpot,stɑkpɑt,3.26,0.3,10.53
stockroom,stɑkrum,4.43,1.46,10.42
stocky,stɑk!,5.6,1,10.15
stockyard,stɑkyɑrd,2.3,1.08,11.14
stodgy,stɑĵ!,4.67,0.95,13.79
stoic,stoIk,5.11,1.34,14
stoics,stoIks,3.26,0.6,14
stoker,stokɝ,5.42,1.94,NaN
stolen,stolən,8.91,3.24,6.17
stolid,stɑləd,3.93,0.48,16
stomach,stʌmək,8.95,3.24,5.26
stomachs,stʌməks,5.79,1.76,5.26
stomping,stɑmpIŋ,6.28,1.76,5.79
Stonehenge,stonhɛnĵ,5.72,1.32,NaN
stonewall,stonwɔl,6,1.58,10.22
stoneware,stonwɛr,4.17,0.48,11.71
stonework,stonwɝk,3.33,0.3,12.47
stony,ston!,6.89,1.51,8.67
stooges,stuĵəz,6.39,1.76,NaN
stooping,stupIŋ,5.01,1.04,9.76
stopcock,stɑpkɑk,3.53,NULL,NaN
stoppage,stɑpIĵ,5.64,1.11,10.95
stopper,stɑpɝ,6.24,1.43,7.61
stopping,stɑpIŋ,8.88,3.03,2.89
stopwatch,stɑpwɑ©,5.38,1.58,8.33
storage,stɔrIĵ,9.88,2.66,7.56
storefront,stɔrfrʌnt,6.36,1.38,8.89
storehouse,stɔrhĂs,5.35,1.23,8.56
storeroom,stɔrrum,4.74,1.92,8.11
storied,stor!d,3.56,0.7,12.25
stories,stɔr!z,10.6,3.35,3.89
storing,stɔrIŋ,7.94,1.63,4.76
stormbound,stɔrmbĂnd,NULL,NULL,NaN
storming,stɔrmIŋ,5.78,1.62,4.94
stormy,stɔrm!,6.61,1.88,6.3
story,stɔr!,11.48,4.05,3.89
stoutly,stĂtl!,3.91,0.48,NaN
stovepipe,stovpĨp,3.53,0.95,9.53
stowaway,stoəwe,3.71,1.54,9.5
straddle,strædl,5.69,1.43,9.11
straddled,strædld,5.83,0.95,9.11
straggle,strægl,1.1,0.3,10.65
straggled,strægld,2.4,0.48,NaN
straightedge,stretɛĵ,4.93,0.48,11.37
straighten,stretn,7.05,2.76,7.63
straightened,stretnd,6.88,2.28,7.63
straightens,stretnz,4.64,0.85,7.63
straightway,stretwe,3.04,NULL,NaN
strainer,strenɝ,5.62,1.18,9.63
straining,strenIŋ,6.68,1.66,8.63
stranded,strændəd,7.82,2.19,NaN
stranding,strændIŋ,4.08,0.48,NaN
strangely,strenĵl!,7.88,2.36,NaN
strangeness,strenĵnəs,6.05,1.28,9.28
stranger,strenĵɝ,8.59,3.14,4.53
stranger's,strenĵɝz,4.98,NULL,NaN
strangers,strenĵɝz,8.13,2.9,4.53
strangest,strenĵIst,6.64,2.23,6.42
strangle,stræŋgl,6.15,2.35,7.74
strangled,stræŋgld,5.9,2.4,7.74
strapless,stræplIs,4.91,1.32,11.89
strapping,stræpIŋ,5.67,1.72,9.32
strata,stredə,6.68,1.08,14.9
stratum,stredəm,5.47,0.48,14.9
streaker,str!kɝ,3.04,0.6,11.26
streamer,str!mɝ,6.66,0.48,7.11
streaming,str!mIŋ,6.64,1.69,6.47
streamline,str!mlĨn,6.64,1.43,13.71
streamlined,str!mlĨnd,6.28,1.3,12.83
streamside,str!msĨd,2.71,NULL,NaN
streetcar,str!tkɑr,5.19,1.82,9.95
streetcars,str!tkɑrz,3.56,0.7,9.95
streetlight,str!tlĨt,4.06,1.42,6.06
strengthen,strɛŋθən,7.84,1.92,9.7
strengthened,strɛŋθənd,6.61,1.28,9.7
strengthens,strɛŋθənz,6.05,1.26,9.7
strenuous,strɛnyuəs,6.04,1.49,12.18
stresses,strɛsəz,7.22,1.3,10
stressful,strɛsfl,6.97,2.11,9.62
stressing,strɛsIŋ,6.62,1.64,10
stretcher,strɛ©ɝ,6.2,2.06,9.39
stretches,strɛ©əz,7.58,1.67,5.47
stretching,strɛ©Iŋ,8.53,2.06,5.47
stretchy,strɛ©!,5.08,1.3,6.26
striate,strĨet,1.39,NULL,NaN
stricken,strIkən,6.4,1.88,10.65
strictest,strIktIst,7.2,1.56,7.56
strictly,strIktl!,9.28,2.74,NaN
stricture,strIk©ɝ,4.16,0.48,13.86
strictures,strIk©ɝz,5.26,0.78,13.86
strident,strĨdnt,5.62,0.48,14.33
striding,strĨdIŋ,5.06,1.18,9.21
strikebound,strĨkbĂnd,NULL,NULL,NaN
striker,strĨkɝ,6.78,2.04,9.17
striking,strĨkIŋ,8.56,2.35,NaN
stringent,strInĵənt,6.82,0.85,14.4
stringing,strIŋIŋ,5.63,1.46,4.94
stringy,strIŋ!,5.26,1.34,7.56
stripper,strIpɝ,6.18,2.43,11.11
strippers,strIpɝz,5.77,2.24,11.11
striptease,strIpt!z,4.81,1.54,14.84
striving,strĨvIŋ,7.13,1.4,8.95
strivings,strĨvIŋz,2.56,0.3,NaN
stroking,strokIŋ,7.67,1.58,9.24
stroller,strolɝ,6.39,1.66,7.84
strolling,strolIŋ,5.65,1.81,7.83
strongarm,strɔŋɑrm,6.3,NULL,NaN
strongbox,strɔŋbɑks,1.61,1.23,12.22
stronger,strɔŋgɝ,9.16,2.99,4.58
strongest,strɔŋgIst,8.17,2.39,4.58
stronghold,strɔŋhold,8.22,1.79,9.78
strongly,strɔŋl!,9.88,2.54,NaN
stropping,strɑpIŋ,2.4,0.3,NaN
structure,strʌk©ɝ,10.31,2.72,9.45
structured,strʌk©ɝd,8.51,1.54,NaN
structures,strʌk©ɝz,9.35,1.77,9.45
strudel,strudl,3.18,1.68,10.59
struggle,strʌgl,9.21,2.83,9.8
struggled,strʌgld,7.58,2.05,9.8
struggles,strʌglz,7.46,1.74,9.8
strumming,strʌmIŋ,5.55,1.04,9.17
strumpet,strʌmpIt,3,1.42,13.58
strutted,strʌdəd,4.11,0.48,NaN
strutting,strʌdIŋ,5.24,1.57,9
strychnine,strIkn!n,5.94,1.36,15.25
stubble,stʌbl,5.56,1.28,9.28
stubborn,stʌbɝn,7.38,2.74,7.17
stubby,stʌb!,5.14,1.42,9.75
stucco,stʌko,4.82,1.3,11.67
studded,stʌdəd,5.57,1,10.78
student,studnt,10.94,3.34,5.94
student's,studnts,7.19,NULL,NaN
students,studnts,10.93,3.19,5.94
studied,stʌd!d,8.93,2.76,6.58
studies,stʌd!z,10.43,2.68,6.58
studious,stud!əs,4.74,0.85,11.28
study,stʌd!,10.84,3.4,6.58
stuffing,stʌfIŋ,7.15,2.22,NaN
stuffy,stʌf!,5.91,2.27,6.84
stumble,stʌmbl,7.03,2,7.94
stumbled,stʌmbld,7.54,2.31,7.94
stumbles,stʌmblz,5.83,1.38,7.94
stumper,stʌmpɝ,4.32,0.48,9.81
stumping,stʌmpIŋ,4.13,0.48,NaN
stumpy,stʌmp!,4.49,1.83,NaN
stunning,stʌnIŋ,7.72,2.32,9.74
stupid,stupəd,10.72,3.97,4.4
stupor,stupɝ,5.56,1.3,13.11
sturdy,stɝd!,7.38,1.94,7.5
sturgeon,stɝĵən,6.03,1.3,10.5
stutter,stʌdɝ,5.7,1.99,8.78
styling,stĨlIŋ,6.5,1.64,8.42
stylish,stĨlI∫,6.26,2.05,8.39
stylist,stĨlIst,5.65,1.65,8.6
stylize,stĨlĨz,1.39,0.3,14.95
stylized,stĨlĨzd,5.93,1.11,12.11
stylus,stĨləs,7.4,0.85,12.74
stymie,stĨm!,3.97,0.95,NaN
stymied,stĨm!d,5.4,1.18,NaN
styrene,stĨr!n,5.1,0.3,13.88
subbing,sʌbIŋ,4.8,1.15,6.55
subdue,səbdu,7.23,1.62,11.17
subdued,səbdud,6.47,1.52,NaN
subdues,səbduz,1.79,NULL,NaN
subgroups,sʌbgrups,7.01,0.7,NaN
subject,sʌbĵIkt,11.82,3.28,7.3
subject's,sʌbĵIkts,6.25,NULL,NaN
subjects,sʌbĵIkts,9.56,2.55,7.3
sublease,sʌbl!s,1.61,0.48,15
sublet,sʌblɛt,4.01,1.49,15.25
sublime,səblĨm,6.79,1.88,13.76
sublimed,səblĨmd,2.48,NULL,NaN
submerge,səbmɝĵ,5.3,1.32,8.68
submerged,səbmɝĵd,6.68,1.64,NaN
submerse,səbmɝs,0.69,0.3,11
submit,səbmIt,10.07,2.45,8.58
submits,səbmIts,6.23,0.9,8.58
subplot,sʌbplɑt,5.8,0.85,10.94
subscribe,səbskrĨb,10.74,1.65,9.84
subscribed,səbskrĨbd,8.21,1.2,9.84
subscripts,sʌbskrIpts,5.5,NULL,NaN
subserve,sʌbsɝv,0.69,NULL,NaN
subside,səbsĨd,5.86,1.32,10.44
subsist,səbsIst,4.83,0.6,12.54
subsoil,sʌbsœl,3.4,0.6,11.12
subspace,sʌbspes,7.68,1.45,13.14
substance,sʌbstəns,9.01,2.56,9.68
substrate,sʌbstret,7,0.48,16
substrates,sʌbstrets,5.1,NULL,NaN
subsume,səbsum,4.11,NULL,NaN
subsumed,səbsumd,5.22,0.48,NaN
subtends,səbtɛndz,3.4,NULL,NaN
subtle,sʌdl,8.87,2.55,11.63
subtract,səbtrækt,7.51,1.46,6.53
subtype,sʌbtĨp,6.27,0.48,13.18
subtypes,sʌbtĨps,4.97,NULL,NaN
suburb,sʌbɝb,7.52,1.49,9.52
suburbs,sʌbɝbz,7.84,2.08,9.52
subvert,səbvɝt,6.39,1.26,13.21
subway,sʌbwe,7.57,2.74,7.68
subways,sʌbwez,5.63,1.53,7.68
succeed,səks!d,9,2.68,8.16
succeeds,səks!dz,7.06,1.7,8.16
success,səksɛs,10.52,3.14,9.25
succinct,səksIŋkt,6.01,1.11,14.24
succor,sʌkɝ,3.78,1.04,14.5
succumb,səkʌm,6.18,1.3,13
succumbed,səkʌmd,5.97,1.52,13
sucker,sʌkɝ,7.83,2.92,6.11
suckers,sʌkɝz,7.18,2.4,6.11
sucking,sʌkIŋ,8.61,2.58,5.58
suckle,sʌkl,5,1,9.61
sucrose,sukros,5.49,0.3,14
suction,sʌk∫n,6.63,2.46,9.42
Sudan,sudæn,6.78,1.63,NaN
sudden,sʌdn,9.07,3.23,6.67
sudsy,sʌdz!,3.14,0.6,8.33
suffer,sʌfɝ,9.37,3.06,8.89
suffered,sʌfɝd,8.85,2.82,8.89
suffers,sʌfɝz,7.84,2.25,8.89
suffice,səfĨs,8.08,1.93,12.26
suffix,sʌfIks,7.5,0.48,9.16
suffrage,sʌfrIĵ,6.06,0.78,14.41
suffuse,səfyuz,2.08,NULL,NaN
suffused,səfyuzd,4.03,NULL,NaN
sugar,∫ʊgɝ,9.57,3.28,3.95
sugared,∫ʊgɝd,3.95,1,7
suggest,səgĵɛst,10.83,3.3,8.67
suggests,səgĵɛsts,9.29,2.41,8.67
suing,suIŋ,6.96,2.47,11
suitcase,sutkes,7.1,2.84,8.22
suited,sudəd,8.43,2.18,6.67
suitor,sudɝ,4.58,1.85,11.94
suitors,sudɝz,4.78,1.6,11.94
sulfide,sʌlfĨd,4.82,1,13.06
sulfur,sʌlfɝ,6.52,1.79,13.6
sulking,sʌlkIŋ,4.93,1.79,7.84
sulky,sʌlk!,3.93,1.04,9.06
sullen,sʌlən,5.5,1.48,11.59
sully,sʌl!,5.07,2.29,12.73
sulphate,sʌlfet,4.9,0.7,NaN
sulphide,sʌlfĨd,3.95,0.6,NaN
sulphur,sʌlfɝ,6.32,1.64,10.59
sultan,sʌltn,6.95,2.22,9.24
sultans,sʌltnz,4.67,0.7,9.24
sultry,sʌltr!,5.51,1.18,12.16
sumac,sumæk,4.79,0.7,11.14
summate,sʌmmet,NULL,NULL,NaN
summer,sʌmɝ,10.45,3.6,4.33
summer's,sʌmɝz,5.93,NULL,NaN
summers,sʌmɝz,7.77,2.13,4.33
summing,sʌmIŋ,5.93,0.7,7.1
summit,sʌmət,8.63,2.23,10.11
summon,sʌmən,8.53,2.3,11.33
summoned,sʌmənd,7.06,2.18,11.33
summons,sʌmənz,6.06,1.91,12.2
sumptuous,sʌmp©uəs,5.16,1.23,13.8
sunbaked,sʌnbekt,0.69,0.7,NaN
sunbathe,sʌnbeð,3.85,1.04,8.47
sunbeam,sʌnb!m,5.95,1.28,6.43
sunblind,sʌnblĨnd,NULL,NULL,NaN
sunburn,sʌnbɝn,5.89,1.53,7.26
sunburnt,sʌnbɝnt,3.83,0.78,NaN
sunburst,sʌnbɝst,5.63,0.85,10.95
sundae,sʌnde,5,1.91,5.11
Sunday,sʌnde,10.18,3.34,NaN
Sunday's,sʌndez,6.36,NULL,NaN
Sundays,sʌndez,7.63,2.13,NaN
sundeck,sʌndɛk,3,0.3,9.4
sunder,sʌndɝ,4.16,0.48,14.5
sundew,səndu,1.39,NULL,NaN
sundial,sʌndĨəl,5.27,1.38,8.68
sundials,sʌndĨəlz,3.89,NULL,NaN
sundown,sʌndĂn,5.89,2.24,6.11
sundrenched,sʌndrɛn©t,NULL,NULL,NaN
sundry,sʌndr!,6.38,1.15,13.05
sunfish,sʌnfI∫,4.33,0.95,9.44
sunflower,sʌnflĂr,6.16,1.54,6
sunken,sʌŋkən,7.52,1.67,8.5
sunlamp,sʌnlæmp,2.3,0.85,12.06
sunless,sʌnləs,3.81,0.85,7.42
sunlight,sʌnlĨt,7.87,2.37,5
sunlit,sʌnlIt,4.63,1,8
sunning,sʌnIŋ,5.33,0.85,3.4
sunny,sʌn!,8.39,2.59,6.17
sunray,sʌnre,2.77,0.78,7.61
sunrise,sʌnrĨz,7.63,2.49,5.72
sunroof,sʌnruf,5.91,1.36,11.15
sunset,sʌnsɛt,8.15,2.72,6.06
sunshade,sʌn∫ed,3.4,NULL,NaN
sunshades,sʌn∫edz,1.39,NULL,NaN
sunshield,sʌn∫!ld,1.1,NULL,NaN
sunshine,sʌn∫Ĩn,7.87,2.78,4.58
sunspot,sʌnspɑt,6.19,1.15,12.21
sunstroke,sʌnstrok,2.64,1.2,9.78
suntan,sʌntæn,5.06,1.71,6.44
super,supɝ,10.25,3.13,5.32
superb,supɝb,8.23,2.17,10
supine,supĨn,5.14,0.7,16.43
supper,sʌpɝ,7.06,3,6.32
suppers,sʌpɝz,3.4,1.11,6.32
supplant,səplænt,5.15,0.6,13.47
supple,sʌpl,6.03,1.51,11.71
suppliant,sʌpl!ənt,2.94,NULL,NaN
supplied,səplĨd,9.12,2.09,8.73
supplier,səplĨɝ,8.68,2,10.05
suppliers,səplĨɝz,8.62,1.59,10.05
supplies,səplĨz,9.35,2.86,8.73
supply,səplĨ,10.5,2.98,8.73
support,səpɔrt,12.42,3.41,8.53
supports,səpɔrts,10.34,2.03,8.53
suppose,səpoz,10.41,3.81,8.21
supposed,səpozd,10.74,4.11,8.67
suppress,səprɛs,7.89,1.89,12.94
suppressed,səprɛst,7.63,1.56,12.94
supreme,supr!m,9.74,2.65,8.47
surcharge,sɝ©ɑrĵ,7.27,1.08,12.53
surefire,∫ʊrfĨr,4.74,1.15,11.74
surely,∫ʊrl!,9.77,3.15,NaN
surface,sɝfəs,10.15,2.97,8.86
surfaced,sɝfəst,6.79,1.64,8.86
surfboard,sɝfbɔrd,5.09,1.68,NaN
surfer,sɝfɝ,7.91,1.92,7.58
surgeon,sɝĵən,7.89,2.92,8.58
surgeons,sɝĵənz,6.77,2.29,8.58
surging,sɝĵIŋ,5.7,1.26,9.82
surly,sɝl!,5.81,1.57,11.47
surmise,sɝmĨz,6.3,1.28,12.72
surmised,sɝmĨzd,5.27,1.04,12.72
surmount,sɝmĂnt,4.03,0.78,13.6
surname,sɝnem,7.82,1.69,12.22
surpass,sɝpæs,6.8,1.28,11
surpassed,sɝpæst,6.48,1.83,11
surplus,sɝpləs,8.31,2.02,11.33
surprise,sɝprĨz,9.78,3.66,5.47
surprised,sɝprĨzd,10.02,3.45,6.63
surreal,sɝr!əl,6.55,1.76,13.72
surround,sɝrĂnd,8.1,2.2,8.05
surtax,sɝtæks,3.85,0.48,15.57
survey,sɝve,10.01,2.36,11.26
surveyed,sɝved,6.86,1.2,11.26
surveyor,sɝveɝ,5.92,1.15,11.67
surveys,sɝvez,8.14,1.46,11.26
survive,sɝvĨv,9.51,3.19,7.11
survived,sɝvĨvd,8.44,2.82,7.11
survives,sɝvĨvz,7.04,1.95,7.11
Susan,suzn,9.7,3.26,NaN
Susan's,suznz,6.28,NULL,NaN
sushi,su∫!,6.7,2.35,11.19
Susie,suz!,7.28,NULL,NaN
Susie's,suz!z,5.25,NULL,NaN
suspect,sʌspɛkt,10.21,3.35,8.58
suspects,sʌspɛkts,7.63,2.8,8.58
suspend,səspɛnd,7.45,2.15,9.11
suspense,səspɛns,7.18,2.06,9.53
Sussex,sʌsIks,7.45,1.42,NaN
sustain,səsten,8.04,2.14,10.39
sustained,səstend,8.04,2.6,NaN
sustains,səstenz,5.83,1.2,10.39
suture,su©ɝ,4.48,2.1,14.61
Suzanne,suzæn,7.8,2.36,NaN
swaddle,swɑdl,1.95,0.7,10.24
swagger,swægɝ,4.16,1.11,12
swaggered,swægɝd,2.77,0.3,NaN
swallow,swɑlo,8.07,2.81,5.17
swallowed,swɑlod,7.7,2.54,5.17
swallows,swɑloz,6.06,1.93,5.17
swami,swɑm!,6.97,1.58,11.14
swamping,swɑmpIŋ,4.47,0.3,NaN
swampy,swɑmp!,4.83,1.04,7.84
swanky,swæŋk!,4.08,1.15,11.78
swanlike,swɑnlĨk,NULL,NULL,NaN
swarming,swɔrmIŋ,5.13,1.73,8.68
swarthy,swɔrð!,4.6,1.32,12.69
swatches,swɑ©əz,4.5,1.43,10.74
swathings,sweðIŋz,NULL,NULL,NaN
swatter,swɑdɝ,3.66,1.08,11.43
swayback,swebæk,2.89,0.3,13.58
swaying,sweIŋ,6.16,1.66,9.58
swearing,swɛrIŋ,6.83,2.1,NaN
sweatband,swɛtbænd,1.61,0.7,9.8
sweated,swɛdəd,4.83,1.57,7.26
sweater,swɛdɝ,7.18,2.85,5.22
sweaters,swɛdɝz,6.01,2.03,5.22
sweating,swɛdIŋ,6.94,2.62,7.26
sweatshirt,swɛ©ɝt,6.1,2.08,5
